Age,CO2,CO2up,CO2down
1384,206.4378,230.4378,182.4378
1392.7,271.0947,311.0947,231.0947
1397.3,263.9953,294.9953,232.9953
1402,321.9717,365.9717,277.9717
1408,302.6997,367.6997,237.6997
1414,258.5566,289.5566,227.5566
1420,204.1049,231.1049,177.1049
1425.2,232.4238,260.4238,204.4238
1430.3,223.212,254.212,192.212
1435.5,235.4065,276.4065,194.4065
1440.7,277.0795,313.0795,241.0795
1445.8,270.1426,311.1426,229.1426
1451,248.7536,298.7536,198.7536
1455.5,230.3995,260.3995,200.3995
1459.4,255.3451,287.3451,223.3451
1464.5,240.5285,269.5285,211.5285
1473.5,274.2674,306.2674,242.2674
1478,267.3017,299.3017,235.3017
1482.5,229.4738,254.4738,204.4738
1490,270.364,304.364,236.364
1493,210.2737,234.2737,186.2737
1496.4,197.8649,221.8649,173.8649
1499,215.6942,238.6942,192.6942
1502.3,188.4707,209.4707,167.4707
1505.7,249.6198,278.6198,220.6198
1509,266.0905,300.0905,232.0905
1512.3,220.4912,247.4912,193.4912
1515.7,288.3886,326.3886,250.3886
1519,270.2546,305.2546,235.2546
1522.3,272.8824,311.8824,233.8824
1525.7,282.5594,318.5594,246.5594
1529,247.4257,274.4257,220.4257
1535.7,287.8022,324.8022,250.8022
