Age,CO2,CO2.95low,CO2.95up
6.375,270,224,325
6.5,270,226,320
6.625,269,226,316
6.75,268,228,313
6.875,267,228,310
7,267,229,310
7.125,266,229,310
7.25,266,230,307
7.375,265,229,304
7.5,265,228,304
7.625,264,228,302
7.75,264,228,302
7.875,264,228,302
8,264,227,302
8.125,263,225,303
8.25,263,223,301
8.375,263,222,301
8.5,263,223,299
8.625,263,222,299
8.75,262,222,297
8.875,262,218,299
9,261,220,300
9.125,260,219,298
9.25,260,219,298
9.375,259,217,297
9.5,258,216,298
9.625,257,216,297
9.75,256,215,298
9.875,256,216,296
10,255,215,296
10.125,254,215,296
10.25,254,214,297
10.375,253,215,298
10.5,253,213,294
10.625,252,213,293
10.75,253,214,293
10.875,252,213,293
11,252,211,294
11.125,252,212,293
11.25,252,210,294
11.375,251,210,293
11.5,251,212,292
11.625,250,213,292
11.75,250,212,290
11.875,249,211,291
12,249,211,290
12.125,248,211,290
12.25,248,210,291
12.375,247,210,289
12.5,246,210,288
12.625,245,208,286
12.75,244,205,286
12.875,243,206,284
13,242,204,282
13.125,241,202,282
13.25,240,201,281
13.375,239,200,278
13.5,238,199,277
13.625,236,198,277
13.75,235,198,274
13.875,234,196,273
14,233,195,273
14.125,232,194,271
14.25,231,193,270
14.375,230,192,270
14.5,229,192,268
14.625,227,191,264
14.75,226,191,264
14.875,225,191,261
15,225,189,260
15.125,224,188,259
15.25,224,187,259
15.375,223,187,259
15.5,222,186,258
15.625,221,185,257
15.75,221,184,257
15.875,220,182,256
16,219,180,255
16.125,219,179,254
16.25,218,176,253
16.375,218,173,252
16.5,217,171,253
16.625,215,168,250
16.75,214,166,249
16.875,212,163,250
17,210,161,251
17.125,209,160,252
17.25,206,158,251
17.375,205,154,249
17.5,202,152,249
17.625,200,151,250
17.75,197,151,249
17.875,195,149,249
18,192,148,248
18.125,190,147,248
18.25,188,146,247
18.375,186,144,243
18.5,184,145,240
18.625,184,145,240
18.75,182,146,239
18.875,181,143,238
19,180,143,234
19.125,181,141,232
19.25,181,141,231
19.375,181,142,227
19.5,181,144,225
19.625,181,145,225
19.75,181,145,224
19.875,182,147,224
20,184,148,225
20.125,185,148,224
20.25,186,148,225
20.375,187,149,225
20.5,188,151,223
20.625,189,151,224
20.75,190,153,225
20.875,191,154,227
21,192,156,226
21.125,193,157,226
21.25,194,159,226
21.375,194,161,224
21.5,195,161,225
21.625,195,162,227
21.75,195,163,227
21.875,196,160,228
22,195,161,228
22.125,195,163,227
22.25,196,163,226
22.375,195,163,227
22.5,195,163,226
22.625,194,163,225
22.75,193,163,226
22.875,193,162,225
23,192,162,224
23.125,191,160,223
23.25,190,160,222
23.375,189,158,221
23.5,188,157,221
23.625,188,156,221
23.75,187,154,219
23.875,186,154,219
24,185,153,220
24.125,184,152,219
24.25,183,152,218
24.375,183,152,217
24.5,182,149,215
24.625,181,149,214
24.75,180,149,213
24.875,179,147,212
25,178,147,211
25.125,178,146,211
25.25,178,145,211
25.375,177,145,211
25.5,176,144,209
25.625,176,144,207
25.75,175,144,207
25.875,175,144,206
26,175,143,206
26.125,175,143,205
26.25,176,142,206
26.375,176,143,206
26.5,176,143,206
26.625,177,144,206
26.75,177,144,206
26.875,177,145,206
27,178,145,207
27.125,178,146,206
27.25,178,146,206
27.375,179,146,207
27.5,179,147,208
27.625,179,148,208
27.75,180,148,208
27.875,180,149,208
28,181,150,208
28.125,181,150,209
28.25,182,151,209
28.375,182,152,209
28.5,183,152,210
28.625,183,153,210
28.75,184,154,211
28.875,185,155,211
29,185,155,211
29.125,186,157,212
29.25,186,157,213
29.375,187,158,213
29.5,187,159,214
29.625,188,160,215
29.75,188,160,215
29.875,189,161,216
30,190,162,216
30.125,190,163,217
30.25,191,163,217
30.375,192,164,218
30.5,192,165,218
30.625,193,166,219
30.75,193,167,220
30.875,194,167,221
31,194,168,222
31.125,195,168,223
31.25,195,169,224
31.375,195,169,225
31.5,196,169,226
31.625,196,170,227
31.75,197,170,228
31.875,197,171,229
32,198,171,230
32.125,198,171,231
32.25,199,172,232
32.375,200,172,232
32.5,201,172,233
32.625,201,172,234
32.75,202,172,235
32.875,202,173,236
33,203,173,237
33.125,203,173,237
33.25,204,174,239
33.375,204,174,240
33.5,204,174,240
33.625,205,175,240
33.75,205,175,241
33.875,206,175,242
34,206,175,243
34.125,207,175,243
34.25,207,175,244
34.375,208,176,245
34.5,208,176,245
34.625,209,176,246
34.75,209,176,246
34.875,210,176,246
35,210,176,246
35.125,210,176,247
35.25,211,177,248
35.375,211,177,248
35.5,211,177,249
35.625,211,178,249
35.75,212,178,249
35.875,212,178,249
36,212,178,249
36.125,212,179,249
36.25,212,179,249
36.375,212,179,248
