Year,Total,Gas,Liquids,Solids,Gas Flaring,Total w/o cement and flaring,Cement Production,Per Capita,Total Co2 ,Total C Normalized,Total CO2 Normalized
1751,3,0,0,3,0,3,0,,11.001,3000000,11001000
1752,3,0,0,3,0,3,0,,11.001,3000000,11001000
1753,3,0,0,3,0,3,0,,11.001,3000000,11001000
1754,3,0,0,3,0,3,0,,11.001,3000000,11001000
1755,3,0,0,3,0,3,0,,11.001,3000000,11001000
1756,3,0,0,3,0,3,0,,11.001,3000000,11001000
1757,3,0,0,3,0,3,0,,11.001,3000000,11001000
1758,3,0,0,3,0,3,0,,11.001,3000000,11001000
1759,3,0,0,3,0,3,0,,11.001,3000000,11001000
1760,3,0,0,3,0,3,0,,11.001,3000000,11001000
1761,3,0,0,3,0,3,0,,11.001,3000000,11001000
1762,3,0,0,3,0,3,0,,11.001,3000000,11001000
1763,3,0,0,3,0,3,0,,11.001,3000000,11001000
1764,3,0,0,3,0,3,0,,11.001,3000000,11001000
1765,3,0,0,3,0,3,0,,11.001,3000000,11001000
1766,3,0,0,3,0,3,0,,11.001,3000000,11001000
1767,3,0,0,3,0,3,0,,11.001,3000000,11001000
1768,3,0,0,3,0,3,0,,11.001,3000000,11001000
1769,3,0,0,3,0,3,0,,11.001,3000000,11001000
1770,3,0,0,3,0,3,0,,11.001,3000000,11001000
1771,4,0,0,4,0,4,0,,14.668,4000000,14668000
1772,4,0,0,4,0,4,0,,14.668,4000000,14668000
1773,4,0,0,4,0,4,0,,14.668,4000000,14668000
1774,4,0,0,4,0,4,0,,14.668,4000000,14668000
1775,4,0,0,4,0,4,0,,14.668,4000000,14668000
1776,4,0,0,4,0,4,0,,14.668,4000000,14668000
1777,4,0,0,4,0,4,0,,14.668,4000000,14668000
1778,4,0,0,4,0,4,0,,14.668,4000000,14668000
1779,4,0,0,4,0,4,0,,14.668,4000000,14668000
1780,4,0,0,4,0,4,0,,14.668,4000000,14668000
1781,5,0,0,5,0,5,0,,18.335,5000000,18335000
1782,5,0,0,5,0,5,0,,18.335,5000000,18335000
1783,5,0,0,5,0,5,0,,18.335,5000000,18335000
1784,5,0,0,5,0,5,0,,18.335,5000000,18335000
1785,5,0,0,5,0,5,0,,18.335,5000000,18335000
1786,5,0,0,5,0,5,0,,18.335,5000000,18335000
1787,5,0,0,5,0,5,0,,18.335,5000000,18335000
1788,5,0,0,5,0,5,0,,18.335,5000000,18335000
1789,5,0,0,5,0,5,0,,18.335,5000000,18335000
1790,5,0,0,5,0,5,0,,18.335,5000000,18335000
1791,6,0,0,6,0,6,0,,22.002,6000000,22002000
1792,6,0,0,6,0,6,0,,22.002,6000000,22002000
1793,6,0,0,6,0,6,0,,22.002,6000000,22002000
1794,6,0,0,6,0,6,0,,22.002,6000000,22002000
1795,6,0,0,6,0,6,0,,22.002,6000000,22002000
1796,6,0,0,6,0,6,0,,22.002,6000000,22002000
1797,7,0,0,7,0,7,0,,25.669,7000000,25669000
1798,7,0,0,7,0,7,0,,25.669,7000000,25669000
1799,7,0,0,7,0,7,0,,25.669,7000000,25669000
1800,8,0,0,8,0,8,0,,29.336,8000000,29336000
1801,8,0,0,8,0,8,0,,29.336,8000000,29336000
1802,10,0,0,10,0,10,0,,36.67,10000000,36670000
1803,9,0,0,9,0,9,0,,33.003,9000000,33003000
1804,9,0,0,9,0,9,0,,33.003,9000000,33003000
1805,9,0,0,9,0,9,0,,33.003,9000000,33003000
1806,10,0,0,10,0,10,0,,36.67,10000000,36670000
1807,10,0,0,10,0,10,0,,36.67,10000000,36670000
1808,10,0,0,10,0,10,0,,36.67,10000000,36670000
1809,10,0,0,10,0,10,0,,36.67,10000000,36670000
1810,10,0,0,10,0,10,0,,36.67,10000000,36670000
1811,11,0,0,11,0,11,0,,40.337,11000000,40337000
1812,11,0,0,11,0,11,0,,40.337,11000000,40337000
1813,11,0,0,11,0,11,0,,40.337,11000000,40337000
1814,11,0,0,11,0,11,0,,40.337,11000000,40337000
1815,12,0,0,12,0,12,0,,44.004,12000000,44004000
1816,13,0,0,13,0,13,0,,47.671,13000000,47671000
1817,14,0,0,14,0,14,0,,51.338,14000000,51338000
1818,14,0,0,14,0,14,0,,51.338,14000000,51338000
1819,14,0,0,14,0,14,0,,51.338,14000000,51338000
1820,14,0,0,14,0,14,0,,51.338,14000000,51338000
1821,14,0,0,14,0,14,0,,51.338,14000000,51338000
